response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0361,0.0366,-2,52.7,0.04913,0.1313, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0358,0.0364,-4.11,55.4,0.2274,0.327, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0339,0.0333,2.53,42.9,0.7129,0.7638, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0337,0.0335,-0.15,50,0.6866,0.749, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.035,0.0359,-5.9,57.1,0.0389,0.1167, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0331,0.0367,-3.26,56.2,0.06428,0.1483, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.035,0.0339,-1.58,56.2,0.238,0.327, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0347,0.0332,1.43,47.3,0.3103,0.38, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0271,0.0261,-4.55,60.7,0.01772,0.06254, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0258,0.0272,0.29,50,0.8163,0.8445, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0263,0.026,-0.79,53.6,0.202,0.3029, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0267,0.0272,2.04,46.4,0.874,0.874, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.5769,5.2882,-15.47,67.9,9.176e-05,0.0006882,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.5342,5.1973,-15,67.9,2.193e-05,0.0002627,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.2858,4.9637,-11.78,71.4,9.317e-06,0.0002068,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.2422,4.7359,-10.83,66.1,0.0001431,0.0007318,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.6599,5.3088,-13.97,68.8,2.676e-05,0.0002627,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.5163,5.2393,-11.49,66.1,3.065e-05,0.0002627,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.1804,4.9061,-8.88,65.2,0.0002769,0.001038,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.018,4.5393,-10.79,64.3,0.0001464,0.0007318,***
