response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0377,0.0385,-2.64,57,0.1037,0.1729, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0379,0.0389,-2.26,59.1,0.2853,0.3891, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0335,0.0347,0.63,48.4,0.8659,0.9013, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0348,0.0364,2.97,40.9,0.8668,0.9013, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.04,0.0395,-0.51,51.6,0.3052,0.4069, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0381,0.0402,1.83,46.2,0.7339,0.8468, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0348,0.035,3.13,45.2,0.7596,0.8599, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0332,0.0367,2.42,44.1,0.8863,0.9013, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0255,0.0256,0.84,48.4,0.5564,0.6546, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0264,0.0262,2.32,44.1,0.884,0.9013, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0259,0.0259,1.31,46.2,0.9475,0.9475, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0266,0.0271,-0.34,50.5,0.4046,0.5058, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.1539,5.3857,-8.58,61.3,0.002129,0.007984,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.9805,5.4271,-10.3,63.4,0.001568,0.00627,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,6.1438,5.9378,-8.11,60.2,0.0002663,0.001332,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.9509,5.7726,-4.69,61.3,0.0001535,0.001023,**
GPPsat,Anomaly / 24m,C vs C+D,93,6.318,5.5196,-8.14,62.4,0.001283,0.005498,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.1138,5.5639,-7.3,60.2,0.000981,0.004528,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.11,5.6897,-8.15,65.6,0.0002589,0.001332,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.1362,5.7244,-7.39,65.6,0.0002663,0.001332,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6894,3.5911,0.73,48.4,0.5138,0.6165, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.545,3.531,2.14,44.1,0.8414,0.9013, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.6636,3.4169,-0.54,53.8,0.1964,0.2946, ns
